assay_id,pdb_id,pubmed_id
1981894,4HGM,23632026
1927800,1LO2,12093912
1927801,1LO3,12093912
1927723,2Z92,18463096
1927724,2Z93,18463096
1927729,2UUD,16682055
2014888,3J5M,24179160
2009284,4JQI,23604254
2014889,4NCO,24179159
2004477,4KSD,23901103
1906466,1CT8,10574796
1904240,1A3L,9506943
1906327,1F3D,10963661
1911138,1HH6,10990450
1911137,1HH9,10990450
1911159,1QNZ,10801487
1904228,1YEC,9027317
1904229,1YED,9027317
1903006,1A0Q,9753552
1883848,3EYV,19901987
1884036,2AJV,16472740
1884037,2AJX,16472740
1958990,4FP8,22982990
1973760,3V6O,22405007
1800937,2HG5,16939283
1852682,3EFF,19346472
1513945,1MVF,12533537
1964954,1UZ8,15242599
1965457,4G6J,23041424
1968951,3PNW,23219464
1985951,1KEG,22349224
1989952,4HEP,23530214
1997000,4LAJ,23843638
1968956,4DW2,23016918
1968796,3U30,22227388
1980689,1MCQ,8346191
1980690,1MCR,8346191
1927495,3O2D,21134642
1927507,3P30,21076402
1922184,3O6L,21035463
1922183,3O6M,21035463
1917126,3OAU,20702629
1922176,3KLH,20852643
1922214,3MLR,20622876
1922216,3MLT,20622876
1922217,3MLV,20622876
1922218,3MLU,20622876
1922219,3MLS,20622876
1922221,3MLX,20622876
1922222,3MLW,20622876
1922223,3GO1,20622876
1922225,3MLZ,20622876
1922227,3MLY,20622876
1861092,3N85,20654626
1859924,3MJ9,21220118
2096954,3WBD,24100042
2097248,4OII,24594604
1955469,2DBL,8413674
1955470,1DBJ,8413674
1955471,1DBK,8413674
1955472,1DBM,8413674
1977949,4JAN,23552890
1984265,4JM2,23708606
1985860,1XF2,15784256
1985862,1CBV,1749770
1973133,3T0W,22390683
1973136,3T0X,22390683
1973769,3T2N,22132769
1973763,3VG9,22286059
1973768,3VGA,22286059
1974406,3QA3,22095715
1930799,3RVW,22210776
2014387,1OAX,12610298
2854034,5JQH,27409812
1943150,3V7A,22278249
2008225,3W9E,24100313
1899060,1BAF,1920408
1866632,1KFA,12054627
1899144,1NGP,7490744
1884627,1Q72,15885702
1884668,1QYG,15885702
1903648,3H42,19443683
1883881,2O5Y,18689687
1883883,2O5Z,18689687
1930801,3RVX,22210776
1936181,4AL8,22491255
1965227,3FCT,9772166
1971949,4HPO,23313589
1971950,4HPY,23313589
1980064,4J6R,23661761
1980065,4JB9,23661761
1985670,4JKP,23712429
1985801,4JO1,23864637
1985802,4JO2,23864637
1985803,4JO3,23864637
2021828,4NBY,24311789
2021855,4NBZ,24311789
2021857,4NC1,24311789
2021858,4NC2,24311789
2015709,4MQS,24256733
2015845,1KEN,11886266
1960827,4FFY,23055922
1960835,4FFZ,23055922
1960925,3U9U,22761786
1965464,4G6M,23041424
1981284,3ZKM,23695257
1981285,3ZKQ,23695257
1981287,3ZKX,23695257
1981297,3ZKS,23695257
1981298,4BEL,23695257
1981299,4BFB,23695257
1981286,3ZKX,23695257
2021856,4NC0,24311789
1884038,2AJZ,16472740
1980703,1MCS,8346191
1980704,1MCF,8346191
2083787,4K94,24127596
2083797,4K9E,24127596
1981296,3ZKN,23695257
2004846,4JG1,23955275
2021880,4NC1,24311789
2373064,4RBP,25380763
1904231,1YEE,9027317
1904504,1AJ7,9180069
1904209,1YEF,9223277
1904216,1YEG,9223277
1906353,1C1E,10600746
1903658,1YNK,16026161
1903659,1YNL,16026161
1906533,2C1P,16427081
1910955,2H9G,16859704
1903704,2G2R,17089439
1885581,2AJY,16472740
1884040,2AJS,16472740
1899098,1YUH,8544863
1899079,43CA,10438624
1902951,1FL3,11030644
1903003,1EAP,8066444
2094108,4BKL,24534192
1917114,2XRA,21124990
1922230,3LEV,20876137
1922419,3LEY,20876137
1922423,3LEX,20876137
1927799,1LO0,12093912
1850135,1I9J,11707437
1831442,3IYW,20956322
1853589,3NIG,20679525
1850128,1JGL,11451948
1853591,3NID,20679525
1853592,3NIF,20679525
1863509,3GJF,19307587
2028721,4LBE,24218397
2007713,4D9Q,22362762
2030149,4GQP,24419156
2028720,4LCU,24218397
2030847,3FFD,19346515
1974378,3Q3G,22095715
1974434,3V4V,22232704
1973686,3TT1,22230955
1973688,3TT3,22230955
2857958,5KEM,27562261
2858296,5KZC,27560183
1927927,3MNZ,21076400
1953173,1DBM,8413674
1955491,3T3P,22422993
1956147,4G6A,22973046
1958953,4DN4,22487721
1936194,4ALA,22491255
1936195,4AM0,22491255
1945006,3U0T,22197375
1953165,2DBL,8413674
1953171,1DBJ,8413674
1953172,1DBK,8413674
1954009,4F2M,22876187
1983473,3QUM,22037582
1983475,3QUM,22037582
1983950,3K2U,20004165
1908251,1YEJ,9826512
1907342,1OP5,12829775
1906751,1A8J,9630831
1908249,1YEI,9826512
1908252,1YEK,9826512
1904185,25C8,10353817
1904180,35C8,10353817
1910999,1J5O,10468556
1906264,3CFD,18309081
1906265,3CFB,18309081
1955438,3OPZ,22241998
2007333,4LSS,23911655
2007334,4LST,23911655
2007335,4LSV,23911655
2007336,4LSU,23911655
1969160,4AG4,22483115
1966368,4G6F,23151583
1965443,1UWG,14988504
1965442,4ENE,23239938
2021826,4NBX,24311789
2021851,4NBY,24311789
2071780,4K24,24465541
2071858,3WKM,24389025
1983962,2WUB,20004165
1983400,3LDB,20679243
1983391,3LD8,20679243
1984496,3SN6,21772288
1984501,3SN6,21772288
2094897,4LVH,24587046
2094938,4KHX,24244293
2095015,4JLR,24499818
2024855,4MA8,24373770
2024853,4MA7,24373770
2024856,4N9O,24400836
1970290,2I25,17258766
1904357,2DQT,17428500
1904361,2DQU,17428500
1915586,2F58,10368281
1915587,3F58,10368281
1885297,5UGY,21825125
1885279,3SGE,22069505
1884021,2NTF,17400249
1904154,3RHW,21572436
1904156,3RIF,21572436
1904157,3RI5,21572436
1904158,3RIA,21572436
1981431,4K2U,23717209
2094937,4KHT,24244293
2095036,4N9G,24499818
2095141,4NX3,24553139
